data point,x,y,voltage,current,move number,flag
266,10084.599999999993,10492.800000000001,4.99969,2.1559e-08,36,0
267,10084.599999999993,10492.800000000001,4.9995,-1.981e-09,36,0
268,10084.599999999993,10492.800000000001,4.99974,-1.728e-08,36,0
269,10084.599999999993,10492.800000000001,5.00022,2.848e-09,36,0
270,10084.599999999993,10492.800000000001,4.99942,1.558e-08,36,0
271,10084.599999999993,10492.800000000001,4.99957,-5.474e-09,36,0
272,10084.599999999993,10492.800000000001,4.9998,-2.0327e-08,36,0
273,10064.799999999994,10492.800000000001,5.00005,9.454e-09,36,0
274,10064.799999999994,10495.800000000001,4.99965,1.3656e-08,37,0
275,10064.799999999994,10495.800000000001,4.99954,-8.457e-09,37,0
276,10064.799999999994,10495.800000000001,4.99994,-2.0013e-08,37,0
277,10064.799999999994,10495.800000000001,5.00021,1.4695e-08,37,0
278,10064.799999999994,10495.800000000001,4.99979,1.3942e-08,37,0
279,10064.799999999994,10495.800000000001,4.99963,-1.043e-08,37,0
280,10064.799999999994,10495.800000000001,5.0002,-1.6676e-08,37,0
281,10044.999999999995,10498.000000000002,5.00005,1.733e-08,38,0
282,10044.999999999995,10498.000000000002,4.9997,9.197e-09,38,0
283,10044.999999999995,10498.000000000002,4.99973,-1.6246e-08,38,0
284,10044.999999999995,10498.000000000002,5.00026,-1.1662e-08,38,0
285,10044.999999999995,10498.000000000002,5.00008,2.1172e-08,38,0
286,10044.999999999995,10498.000000000002,4.99974,8.212e-09,38,0
287,10044.999999999995,10498.000000000002,4.99984,-1.6616e-08,38,0
288,10024.999999999995,10499.400000000001,5.00014,-6.091e-09,39,0
289,10024.999999999995,10499.400000000001,4.99999,2.3936e-08,39,0
290,10024.999999999995,10499.400000000001,4.99962,-3.24e-10,39,0
291,10024.999999999995,10499.400000000001,4.99974,-2.0348e-08,39,0
292,10024.999999999995,10499.400000000001,5.00006,9.8e-10,39,0
293,10024.999999999995,10499.400000000001,4.99976,2.1595e-08,39,0
294,10024.999999999995,10499.400000000001,4.9996,4.12e-10,39,0
295,10004.999999999995,10500.000000000002,4.9998,-1.6873e-08,40,0
296,10004.999999999995,10500.000000000002,5.00017,4.336e-09,40,0
297,10004.999999999995,10500.000000000002,4.9996,1.6694e-08,40,0
298,10004.999999999995,10500.000000000002,4.99967,-4.281e-09,40,0
299,10004.999999999995,10500.000000000002,4.99987,-2.1324e-08,40,0
300,10004.999999999995,10500.000000000002,5.00014,8.824e-09,40,0
301,10004.999999999995,10500.000000000002,4.99969,1.4155e-08,40,0
302,10004.999999999995,10500.000000000002,4.99957,-9.516e-09,40,0
303,9984.999999999995,10499.800000000001,5.00001,-2.042e-08,41,0
304,9984.999999999995,10499.800000000001,5.00023,1.4604e-08,41,0
305,9984.999999999995,10499.800000000001,4.99983,1.2824e-08,41,0
306,9984.999999999995,10499.800000000001,4.99963,-1.3641e-08,41,0
307,9984.999999999995,10499.800000000001,5.00012,-1.4325e-08,41,0
308,9984.999999999995,10499.800000000001,5.00001,1.9838e-08,41,0
309,9984.999999999995,10499.800000000001,4.99981,1.1474e-08,41,0
310,9964.999999999995,10499.800000000001,4.99982,-1.5939e-08,41,0
311,9964.999999999995,10498.800000000001,5.00033,-1.2596e-08,42,0
312,9964.999999999995,10498.800000000001,5.00012,2.0016e-08,42,0
313,9964.999999999995,10498.800000000001,4.9997,1.2101e-08,42,0
314,9964.999999999995,10498.800000000001,4.99978,-1.752e-08,42,0
315,9964.999999999995,10498.800000000001,5.00026,-5.711e-09,42,0
316,9964.999999999995,10498.800000000001,4.99996,2.2768e-08,42,0
317,9964.999999999995,10498.800000000001,4.99962,5.608e-09,42,0
318,9964.999999999995,10498.800000000001,4.99975,-1.9301e-08,42,0
319,9944.999999999995,10497.000000000002,5.0002,-3.037e-09,43,0
320,9944.999999999995,10497.000000000002,4.99971,2.0341e-08,43,0
321,9944.999999999995,10497.000000000002,4.99958,-1.2335e-08,43,0
322,9944.999999999995,10497.000000000002,4.99989,-1.9358e-08,43,0
