Commanded Speed (steps/s) | Expected Duration (s) | Actual Duration (s) | Effective Speed (steps/s) | Overridden?
167 steps/s (33.4 µm/s) | Expected: 0.743 s | Actual: 0.321 s | Effective: 568.19 steps/s | Overridden: YES
168 steps/s (33.6 µm/s) | Expected: 0.740 s | Actual: 0.320 s | Effective: 569.59 steps/s | Overridden: YES
169 steps/s (33.8 µm/s) | Expected: 0.736 s | Actual: 0.321 s | Effective: 568.33 steps/s | Overridden: YES
170 steps/s (34.0 µm/s) | Expected: 0.733 s | Actual: 0.320 s | Effective: 569.56 steps/s | Overridden: YES
171 steps/s (34.2 µm/s) | Expected: 0.729 s | Actual: 0.320 s | Effective: 569.63 steps/s | Overridden: YES
172 steps/s (34.4 µm/s) | Expected: 0.726 s | Actual: 0.305 s | Effective: 625.20 steps/s | Overridden: YES
173 steps/s (34.6 µm/s) | Expected: 0.723 s | Actual: 0.304 s | Effective: 626.79 steps/s | Overridden: YES
174 steps/s (34.8 µm/s) | Expected: 0.719 s | Actual: 0.304 s | Effective: 626.62 steps/s | Overridden: YES
175 steps/s (35.0 µm/s) | Expected: 0.716 s | Actual: 0.304 s | Effective: 625.47 steps/s | Overridden: YES
176 steps/s (35.2 µm/s) | Expected: 0.713 s | Actual: 0.304 s | Effective: 626.53 steps/s | Overridden: YES
177 steps/s (35.4 µm/s) | Expected: 0.710 s | Actual: 0.289 s | Effective: 694.17 steps/s | Overridden: YES
178 steps/s (35.6 µm/s) | Expected: 0.706 s | Actual: 0.288 s | Effective: 694.90 steps/s | Overridden: YES
179 steps/s (35.8 µm/s) | Expected: 0.703 s | Actual: 0.288 s | Effective: 695.00 steps/s | Overridden: YES
180 steps/s (36.0 µm/s) | Expected: 0.700 s | Actual: 0.289 s | Effective: 694.56 steps/s | Overridden: YES
181 steps/s (36.2 µm/s) | Expected: 0.697 s | Actual: 0.288 s | Effective: 696.52 steps/s | Overridden: YES
182 steps/s (36.4 µm/s) | Expected: 0.694 s | Actual: 0.273 s | Effective: 781.06 steps/s | Overridden: YES
